3.42036 5.41129
3.47147 5.40342
3.4715 5.40337
3.4715 5.40337
3.4715 5.40337
3.4715 5.40337
3.4715 5.40337
3.4715 5.40336
3.47153 5.40332
3.47155 5.40328
3.47156 5.40326
3.47156 5.40326
3.47157 5.40324
3.41518 5.40315
3.41444 5.40187
3.41438 5.40176
3.41435 5.40171
3.41434 5.40169
3.41434 5.40169
3.41434 5.40169
3.41433 5.40168
3.47294 5.40076
3.41306 5.39937
3.41304 5.39933
3.41304 5.39933
3.41304 5.39933
3.41304 5.39933
3.41304 5.39933
3.41298 5.39922
3.41298 5.39922
3.41298 5.39922
3.41298 5.39922
3.41298 5.39922
3.41297 5.3992
3.41297 5.3992
3.41297 5.3992
3.41297 5.3992
3.41296 5.39918
3.41292 5.39911
3.41291 5.39909
3.41291 5.39909
3.41291 5.39908
3.41291 5.39908
3.41291 5.39908
3.47633 5.39406
3.47633 5.39406
3.47633 5.39406
3.47736 5.39189
3.47736 5.39189
3.47736 5.39189
